,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,2.1234568641224816,,Intercept,579.7223553692602,580.0,0.2776446307398146,580.0
1,1,grade:A,1.6759248391599948,0.0,grade,117.9204096218559,118.0,0.07959037814410408,118.0
2,2,grade:B,1.2089613939453936,0.0,grade,85.06421019602828,85.0,-0.06421019602828437,85.0
3,3,grade:C,0.90749649148056,0.0,grade,63.85271911085303,64.0,0.14728088914696968,64.0
4,4,grade:D,0.6825182706731865,1.4145545910944229e-241,grade,48.022937647085875,48.0,-0.022937647085875312,48.0
5,5,grade:E,0.46251291789077614,3.3108719519545975e-116,grade,32.543054114775494,33.0,0.4569458852245063,33.0
6,6,grade:F,0.2176466813065624,1.4955146319205144e-22,grade,15.313924116890075,15.0,-0.3139241168900746,15.0
7,7,home_ownership:MORTGAGE,0.24659475522336546,0.0,home_ownership,17.350750980643774,17.0,-0.35075098064377386,17.0
8,8,home_ownership:OWN,0.11312381417111322,6.0208977236750624e-46,home_ownership,7.959549374380322,8.0,0.040450625619677716,8.0
9,9,addr_state:MO_NC_MD_IN_AK_NE_NJ,0.08718380378220869,9.805978608025291e-18,addr_state,6.134374056740196,6.0,-0.13437405674019587,6.0
10,10,addr_state:MI_PA_MN_TN_VA_HI,0.13419659547248072,1.3284709901611569e-39,addr_state,9.442259663568782,9.0,-0.4422596635687821,9.0
11,11,addr_state:OH_WI_AZ_MA_UT_DE,0.1630170952126434,7.593632020916308e-52,addr_state,11.47011023028631,11.0,-0.47011023028630916,11.0
12,12,addr_state:GA_IL_WY_RI,0.2886409204513445,2.461754047923634e-134,addr_state,20.30917782107214,20.0,-0.3091778210721401,20.0
13,13,addr_state:MT_WA_SC_OR_ND_KS_CT_CO_NH_WV_DC_VT_ID_ME,0.4092189236262129,5.80866680134858e-305,addr_state,28.793214332454458,29.0,0.2067856675455424,29.0
14,14,addr_state:FL,0.056195619516728815,1.1640755864716188e-06,addr_state,3.9540021828711627,4.0,0.045997817128837326,4.0
15,15,addr_state:NY,0.06600629840429524,3.6912911624478042e-09,addr_state,4.644295235434413,5.0,0.3557047645655871,5.0
16,16,addr_state:CA,0.11310212906249116,7.241749221677263e-29,addr_state,7.958023579886644,8.0,0.04197642011335567,8.0
17,17,addr_state:TX,0.10498826393121233,1.9881559511165024e-20,addr_state,7.387120710294679,7.0,-0.3871207102946794,7.0
18,18,verification_status:Source Verified,0.058172218349730506,5.181548954968263e-26,verification_status,4.093078434144141,4.0,-0.0930784341441413,4.0
19,19,verification_status:Not Verified,0.23430092544983225,4.777674157384446e-295,verification_status,16.485739967713737,16.0,-0.4857399677137373,16.0
20,20,purpose:debt_consolidation,0.13169814729007315,2.5271510562814834e-19,purpose,9.266465364084475,9.0,-0.26646536408447474,9.0
21,21,purpose:med__oth__house__wedd,0.21127377348189053,2.829250818768462e-38,purpose,14.865517432050735,15.0,0.13448256794926472,15.0
22,22,purpose:major_purch__vacation__home_impr__car,0.16046600604079408,3.931497596465309e-23,purpose,11.290612037349964,11.0,-0.2906120373499643,11.0
23,23,purpose:credit_card,0.17981719056017653,1.371608635997169e-31,purpose,12.6521883753064,13.0,0.34781162469360005,13.0
24,24,initial_list_status:w,0.0261889589132286,1.1402495159762957e-06,initial_list_status,1.8426916830982354,2.0,0.1573083169017646,2.0
25,25,term:36,0.1743391245555325,1.0630157351378018e-203,term,12.266744009241055,12.0,-0.2667440092410551,12.0
26,26,emp_length:1,0.13766256544295605,5.197752616428551e-37,emp_length,9.686130145767946,10.0,0.3138698542320544,10.0
27,27,emp_length:2-6,0.15486206338908914,1.3512880375879074e-99,emp_length,10.896310814797735,11.0,0.10368918520226522,11.0
28,28,emp_length:7-9,0.13011195441905699,9.427590844788651e-47,emp_length,9.154858620918567,9.0,-0.15485862091856717,9.0
29,29,emp_length:10,0.18188556541910897,1.1785400746949637e-129,emp_length,12.797722115792705,13.0,0.20227788420729453,13.0
30,30,mths_since_issue_d:30-33,-0.10138858706944268,5.9889501067552035e-12,mths_since_issue_d,-7.133842424701066,-7.0,0.1338424247010659,-7.0
31,31,mths_since_issue_d:33-40,-0.854916875436696,0.0,mths_since_issue_d,-60.153143976707995,-60.0,0.1531439767079945,-60.0
32,32,mths_since_issue_d:41-46,-1.0053975721719386,0.0,mths_since_issue_d,-70.7411757216734,-71.0,-0.2588242783265997,-71.0
33,33,mths_since_issue_d:46-52,-1.3277066902931964,0.0,mths_since_issue_d,-93.41929489840665,-93.0,0.4192948984066476,-93.0
34,34,mths_since_issue_d:53-64,-1.742734271098595,0.0,mths_since_issue_d,-122.62121445314651,-123.0,-0.37878554685349286,-123.0
35,35,mths_since_issue_d:65-84,-1.6469335777715577,0.0,mths_since_issue_d,-115.8805440273509,-116.0,-0.11945597264910646,-116.0
36,36,mths_since_issue_d:>84,-1.4823286835633542,0.0,mths_since_issue_d,-104.2987140447352,-104.0,0.29871404473520613,-104.0
37,37,int_rate:8.392-11.987,-0.26599280730298824,9.732783677120367e-62,int_rate,-18.71562498551962,-19.0,-0.2843750144803785,-19.0
38,38,int_rate:11.987-15.582,-0.43352367217312804,4.0050868639865484e-123,int_rate,-30.503330345679096,-31.0,-0.49666965432090393,-31.0
39,39,int_rate:15.582-19.177,-0.590732505998286,2.0635617391173075e-190,int_rate,-41.56476320213617,-42.0,-0.43523679786382985,-42.0
40,40,int_rate:>19.177,-0.6833433845177234,2.117719437256204e-231,int_rate,-48.08099380823283,-48.0,0.08099380823283298,-48.0
41,41,mths_since_earliest_cr_line:167-250,-0.02377825863583355,0.001639529188531934,mths_since_earliest_cr_line,-1.6730714486201619,-2.0,-0.3269285513798381,-2.0
42,42,mths_since_earliest_cr_line:251-355,0.013741506114344123,0.1026687332426883,mths_since_earliest_cr_line,0.9668715397982128,1.0,0.03312846020178717,1.0
43,43,mths_since_earliest_cr_line:356-417,0.03963299712989449,0.0005371474619358079,mths_since_earliest_cr_line,2.788632966643936,3.0,0.21136703335606422,3.0
44,44,mths_since_earliest_cr_line:>417,0.01116146750868418,0.36145093338555767,mths_since_earliest_cr_line,0.7853364243140883,1.0,0.21466357568591166,1.0
